S.No,PO#,PO Date,Product,Qty,Price,POAmount,Vendor,Status,InventoryIn,InventoryOut,Balance
46,1046,24-08-2022,Item-1,229,15,3435,Vendor-6,Received,3435,2333.8,1101.2
47,1047,11-09-2022,Item-1,215,10,2150,Vendor-8,Received,2150,1728.1,421.9
48,1048,04-06-2022,Item-4,375,17,6375,Vendor-6,Pending,0,0,0
49,1049,24-01-2022,Item-1,164,20,3280,Vendor-2,Received,3280,3263.7,16.3
50,1050,10-04-2022,Item-2,341,17,5797,Vendor-4,Received,5797,5012,785
51,1051,25-02-2022,Item-2,379,16,6064,Vendor-9,Received,6064,4114.8,1949.2
52,1052,13-05-2022,Item-4,453,20,9060,Vendor-1,Received,9060,1086.9,7973.1
53,1053,21-10-2022,Item-3,216,19,4104,Vendor-6,Pending,0,0,0
54,1054,16-12-2022,Item-3,245,17,4165,Vendor-2,Pending,0,0,0
55,1055,13-12-2022,Item-1,496,10,4960,Vendor-9,Pending,0,0,0
56,1056,05-07-2022,Item-4,246,13,3198,Vendor-8,Received,3198,1486.9,1711.1
57,1057,18-02-2022,Item-4,317,18,5706,Vendor-8,Received,5706,1176.2,4529.8
58,1058,06-09-2022,Item-4,157,10,1570,Vendor-7,Pending,0,0,0
59,1059,30-01-2022,Item-4,428,13,5564,Vendor-5,Received,5564,1384.1,4179.9
60,1060,09-10-2022,Item-3,341,12,4092,Vendor-3,Received,4092,2150.5,1941.5
61,1061,22-06-2022,Item-4,440,11,4840,Vendor-6,Pending,0,0,0
62,1062,25-11-2022,Item-3,181,18,3258,Vendor-4,Received,3258,2494.6,763.4
63,1063,26-09-2022,Item-2,284,19,5396,Vendor-1,Received,5396,4412.5,983.5
64,1064,11-10-2022,Item-4,476,20,9520,Vendor-2,Received,9520,7735.8,1784.2
65,1065,24-09-2022,Item-4,136,17,2312,Vendor-6,Received,2312,1359.7,952.3
66,1066,23-04-2022,Item-1,459,20,9180,Vendor-6,Received,9180,8168.2,1011.8
67,1067,22-05-2022,Item-4,250,16,4000,Vendor-4,Pending,0,0,0
68,1068,25-05-2022,Item-4,201,14,2814,Vendor-10,Received,2814,2769.6,44.4
69,1069,17-04-2022,Item-1,381,20,7620,Vendor-4,Pending,0,0,0
70,1070,09-12-2022,Item-3,492,10,4920,Vendor-8,Received,4920,2891,2029
71,1071,08-01-2022,Item-3,200,10,2000,Vendor-8,Pending,0,0,0
72,1072,09-03-2022,Item-4,102,10,1020,Vendor-5,Received,1020,1017.1,2.9
73,1073,17-11-2022,Item-4,382,10,3820,Vendor-8,Received,3820,3609.3,210.7
74,1074,18-06-2022,Item-1,270,12,3240,Vendor-9,Received,3240,2640.3,599.7
75,1075,10-01-2022,Item-1,418,13,5434,Vendor-10,Pending,0,0,0
76,1076,27-12-2022,Item-1,302,15,4530,Vendor-2,Pending,0,0,0
77,1077,23-09-2022,Item-1,258,16,4128,Vendor-8,Pending,0,0,0
78,1078,10-07-2022,Item-3,158,14,2212,Vendor-6,Received,2212,1884.5,327.5
79,1079,25-08-2022,Item-3,151,14,2114,Vendor-6,Received,2114,1616.7,497.3
80,1080,11-06-2022,Item-4,249,12,2988,Vendor-8,Received,2988,2115.5,872.5
81,1081,23-09-2022,Item-3,314,15,4710,Vendor-9,Received,4710,3991.2,718.8
82,1082,05-06-2022,Item-1,216,18,3888,Vendor-1,Received,3888,1819.8,2068.2
83,1083,31-01-2022,Item-2,427,15,6405,Vendor-1,Pending,0,0,0
84,1084,25-05-2022,Item-2,269,15,4035,Vendor-10,Pending,0,0,0
85,1085,28-07-2022,Item-3,263,14,3682,Vendor-5,Pending,0,0,0
86,1086,14-06-2022,Item-1,257,18,4626,Vendor-5,Pending,0,0,0
87,1087,03-07-2022,Item-2,413,17,7021,Vendor-3,Received,7021,2743.6,4277.4
88,1088,06-05-2022,Item-3,445,19,8455,Vendor-6,Received,8455,2618.3,5836.7
89,1089,12-01-2022,Item-3,251,12,3012,Vendor-8,Received,3012,1729.2,1282.8
90,1090,27-07-2022,Item-4,211,14,2954,Vendor-8,Pending,0,0,0
91,1091,20-04-2022,Item-1,277,20,5540,Vendor-3,Pending,0,0,0
92,1092,17-11-2022,Item-2,108,11,1188,Vendor-9,Received,1188,1032.3,155.7
93,1093,30-06-2022,Item-1,438,13,5694,Vendor-2,Pending,0,0,0
94,1094,28-12-2022,Item-1,140,20,2800,Vendor-7,Pending,0,0,0
95,1095,06-08-2022,Item-4,335,15,5025,Vendor-1,Received,5025,3743.6,1281.4
96,1096,16-10-2022,Item-4,294,18,5292,Vendor-4,Received,5292,4820.5,471.5
97,1097,20-10-2022,Item-4,245,13,3185,Vendor-2,Received,3185,2154.6,1030.4
98,1098,06-07-2022,Item-2,378,10,3780,Vendor-10,Received,3780,2933.3,846.7
99,1099,27-06-2022,Item-3,405,12,4860,Vendor-6,Pending,0,0,0
100,1100,04-10-2022,Item-2,266,11,2926,Vendor-6,Received,2926,2550.6,375.4
101,1101,25-03-2022,Item-1,295,13,3835,Vendor-10,Received,3835,3132.4,702.6
102,1102,25-02-2022,Item-3,419,19,7961,Vendor-2,Pending,0,0,0
103,1103,02-04-2022,Item-3,193,18,3474,Vendor-3,Received,3474,3129.3,344.7
104,1104,31-05-2022,Item-4,480,19,9120,Vendor-6,Pending,0,0,0
105,1105,08-07-2022,Item-1,493,15,7395,Vendor-5,Pending,0,0,0
106,1106,17-08-2022,Item-4,346,14,4844,Vendor-10,Pending,0,0,0
107,1107,11-07-2022,Item-3,299,10,2990,Vendor-3,Pending,0,0,0
108,1108,29-07-2022,Item-2,458,16,7328,Vendor-3,Received,7328,2160.6,5167.4
109,1109,17-04-2022,Item-1,353,14,4942,Vendor-4,Pending,0,0,0
110,1110,17-11-2022,Item-3,321,13,4173,Vendor-1,Received,4173,2501.2,1671.8
111,1111,08-12-2022,Item-2,307,10,3070,Vendor-1,Received,3070,1676.3,1393.7
112,1112,14-04-2022,Item-3,204,16,3264,Vendor-5,Pending,0,0,0
113,1113,29-11-2022,Item-1,226,10,2260,Vendor-1,Received,2260,1884.1,375.9
114,1114,21-02-2022,Item-3,106,17,1802,Vendor-9,Received,1802,1012.1,789.9
115,1115,29-10-2022,Item-1,185,19,3515,Vendor-6,Received,3515,2839.2,675.8
116,1116,04-09-2022,Item-3,356,14,4984,Vendor-1,Pending,0,0,0
117,1117,22-05-2022,Item-1,298,11,3278,Vendor-8,Received,3278,1476.4,1801.6
118,1118,07-06-2022,Item-1,473,17,8041,Vendor-5,Received,8041,5109.7,2931.3
119,1119,29-10-2022,Item-2,124,16,1984,Vendor-10,Received,1984,1282.5,701.5
120,1120,20-05-2022,Item-3,281,16,4496,Vendor-4,Received,4496,4450.5,45.5
121,1121,28-08-2022,Item-3,153,16,2448,Vendor-9,Received,2448,2398.2,49.8
122,1122,30-06-2022,Item-2,381,17,6477,Vendor-3,Pending,0,0,0
123,1123,24-05-2022,Item-2,426,13,5538,Vendor-9,Received,5538,2118.1,3419.9
124,1124,04-09-2022,Item-3,217,19,4123,Vendor-9,Pending,0,0,0
125,1125,18-09-2022,Item-2,403,16,6448,Vendor-7,Received,6448,1526.2,4921.8
126,1126,04-06-2022,Item-1,291,20,5820,Vendor-9,Pending,0,0,0
127,1127,19-12-2022,Item-3,330,14,4620,Vendor-3,Received,4620,4549,71
128,1128,05-06-2022,Item-3,343,19,6517,Vendor-8,Received,6517,2209.8,4307.2
129,1129,25-02-2022,Item-4,374,20,7480,Vendor-10,Pending,0,0,0
130,1130,12-04-2022,Item-3,449,14,6286,Vendor-4,Pending,0,0,0
131,1131,25-06-2022,Item-2,145,18,2610,Vendor-9,Pending,0,0,0
132,1132,06-06-2022,Item-1,164,19,3116,Vendor-9,Pending,0,0,0
133,1133,19-04-2022,Item-4,483,13,6279,Vendor-4,Pending,0,0,0
134,1134,02-01-2022,Item-2,269,15,4035,Vendor-2,Pending,0,0,0
135,1135,29-05-2022,Item-2,344,12,4128,Vendor-3,Pending,0,0,0
136,1136,05-10-2022,Item-2,326,15,4890,Vendor-5,Received,4890,1035.9,3854.1
137,1137,01-09-2022,Item-1,429,14,6006,Vendor-6,Received,6006,1410.3,4595.7
138,1138,10-05-2022,Item-1,406,15,6090,Vendor-5,Pending,0,0,0
139,1139,05-06-2022,Item-1,481,10,4810,Vendor-10,Received,4810,2165.2,2644.8
140,1140,27-05-2022,Item-2,217,19,4123,Vendor-5,Pending,0,0,0
141,1141,17-01-2022,Item-2,361,10,3610,Vendor-4,Received,3610,1613.8,1996.2
142,1142,18-07-2022,Item-1,391,16,6256,Vendor-4,Received,6256,1741.1,4514.9
143,1143,15-02-2022,Item-2,278,20,5560,Vendor-8,Pending,0,0,0
144,1144,06-05-2022,Item-3,444,19,8436,Vendor-7,Pending,0,0,0
145,1145,15-03-2022,Item-3,384,13,4992,Vendor-5,Pending,0,0,0
146,1146,27-11-2022,Item-3,258,19,4902,Vendor-5,Pending,0,0,0
147,1147,28-11-2022,Item-4,483,16,7728,Vendor-8,Received,7728,5813.2,1914.8
148,1148,24-12-2022,Item-4,160,11,1760,Vendor-5,Received,1760,1135.7,624.3
149,1149,28-01-2022,Item-2,248,19,4712,Vendor-7,Pending,0,0,0
150,1150,13-05-2022,Item-1,213,16,3408,Vendor-4,Pending,0,0,0
151,1151,17-09-2022,Item-3,384,13,4992,Vendor-9,Received,4992,1115.2,3876.8
152,1152,03-12-2022,Item-2,207,18,3726,Vendor-9,Pending,0,0,0
153,1153,20-05-2022,Item-3,128,13,1664,Vendor-6,Pending,0,0,0
154,1154,20-07-2022,Item-4,107,18,1926,Vendor-4,Received,1926,1710.8,215.2
155,1155,12-08-2022,Item-1,265,19,5035,Vendor-3,Received,5035,4873.3,161.7
156,1156,04-01-2022,Item-3,393,17,6681,Vendor-6,Received,6681,3077.2,3603.8
157,1157,29-03-2022,Item-3,133,10,1330,Vendor-1,Received,1330,1162.5,167.5
158,1158,03-05-2022,Item-1,214,14,2996,Vendor-6,Pending,0,0,0
159,1159,05-07-2022,Item-2,275,15,4125,Vendor-8,Pending,0,0,0
160,1160,12-04-2022,Item-4,159,17,2703,Vendor-4,Pending,0,0,0
161,1161,08-12-2022,Item-3,315,17,5355,Vendor-9,Received,5355,2939.2,2415.8
162,1162,20-05-2022,Item-4,218,20,4360,Vendor-8,Received,4360,1542.3,2817.7
163,1163,04-10-2022,Item-1,455,17,7735,Vendor-7,Pending,0,0,0
164,1164,25-01-2022,Item-2,337,17,5729,Vendor-7,Received,5729,2078.9,3650.1
165,1165,03-01-2022,Item-3,227,15,3405,Vendor-3,Received,3405,1002.2,2402.8
166,1166,30-10-2022,Item-2,198,15,2970,Vendor-5,Received,2970,2501.6,468.4
167,1167,10-12-2022,Item-1,240,12,2880,Vendor-8,Received,2880,1363.1,1516.9
168,1168,19-01-2022,Item-2,248,18,4464,Vendor-1,Received,4464,3500.2,963.8
169,1169,23-07-2022,Item-2,378,20,7560,Vendor-9,Received,7560,6097.3,1462.7
170,1170,15-12-2022,Item-3,121,19,2299,Vendor-3,Received,2299,2020.5,278.5
171,1171,17-04-2022,Item-2,221,20,4420,Vendor-5,Received,4420,1324,3096
172,1172,05-07-2022,Item-4,168,16,2688,Vendor-6,Received,2688,1025.8,1662.2
173,1173,21-10-2022,Item-2,471,17,8007,Vendor-7,Received,8007,5900.5,2106.5
174,1174,10-06-2022,Item-3,366,10,3660,Vendor-9,Pending,0,0,0
175,1175,16-12-2022,Item-3,350,17,5950,Vendor-3,Pending,0,0,0
176,1176,03-03-2022,Item-1,441,18,7938,Vendor-4,Received,7938,5476.3,2461.7
177,1177,12-07-2022,Item-2,332,19,6308,Vendor-9,Received,6308,5333.1,974.9
178,1178,28-10-2022,Item-2,368,14,5152,Vendor-2,Received,5152,4800.3,351.7
179,1179,18-09-2022,Item-4,169,20,3380,Vendor-1,Pending,0,0,0
180,1180,02-05-2022,Item-1,500,11,5500,Vendor-4,Received,5500,3437.2,2062.8
181,1181,30-07-2022,Item-4,251,10,2510,Vendor-10,Received,2510,1930.3,579.7
182,1182,06-05-2022,Item-2,487,13,6331,Vendor-2,Received,6331,6033.7,297.3
183,1183,06-12-2022,Item-3,363,11,3993,Vendor-5,Pending,0,0,0
184,1184,28-03-2022,Item-3,368,15,5520,Vendor-4,Received,5520,3076,2444
185,1185,14-10-2022,Item-2,471,20,9420,Vendor-9,Pending,0,0,0
186,1186,07-06-2022,Item-1,237,14,3318,Vendor-10,Received,3318,1075,2243
187,1187,05-12-2022,Item-1,143,19,2717,Vendor-2,Received,2717,1467.3,1249.7
188,1188,21-06-2022,Item-2,412,15,6180,Vendor-6,Received,6180,3473.5,2706.5
189,1189,03-08-2022,Item-3,111,12,1332,Vendor-9,Pending,0,0,0
190,1190,21-04-2022,Item-4,310,12,3720,Vendor-3,Received,3720,1766.3,1953.7
191,1191,03-04-2022,Item-2,453,15,6795,Vendor-3,Received,6795,5919.2,875.8
192,1192,14-11-2022,Item-1,348,12,4176,Vendor-7,Pending,0,0,0
193,1193,09-07-2022,Item-4,200,17,3400,Vendor-4,Received,3400,2977.5,422.5
194,1194,02-12-2022,Item-2,227,20,4540,Vendor-6,Received,4540,1327.9,3212.1
195,1195,10-07-2022,Item-2,356,11,3916,Vendor-5,Pending,0,0,0
196,1196,30-10-2022,Item-1,339,15,5085,Vendor-5,Received,5085,2308.5,2776.5
197,1197,28-02-2022,Item-1,105,18,1890,Vendor-5,Received,1890,1278.2,611.8
198,1198,02-08-2022,Item-2,320,18,5760,Vendor-8,Received,5760,2042.2,3717.8
199,1199,14-05-2022,Item-2,263,14,3682,Vendor-6,Pending,0,0,0
200,1200,20-02-2022,Item-3,240,11,2640,Vendor-2,Pending,0,0,0
201,1201,24-03-2022,Item-4,442,13,5746,Vendor-3,Received,5746,4543.1,1202.9
202,1202,21-02-2022,Item-3,172,13,2236,Vendor-2,Pending,0,0,0
203,1203,14-11-2022,Item-1,236,17,4012,Vendor-2,Received,4012,1103.3,2908.7
204,1204,26-10-2022,Item-4,156,18,2808,Vendor-8,Pending,0,0,0
205,1205,05-10-2022,Item-4,433,19,8227,Vendor-4,Pending,0,0,0
206,1206,29-01-2022,Item-2,270,19,5130,Vendor-3,Pending,0,0,0
207,1207,08-05-2022,Item-3,437,17,7429,Vendor-5,Pending,0,0,0
208,1208,08-05-2022,Item-3,253,13,3289,Vendor-4,Pending,0,0,0
209,1209,20-02-2022,Item-1,466,12,5592,Vendor-6,Pending,0,0,0
210,1210,13-03-2022,Item-2,488,14,6832,Vendor-9,Received,6832,6638.7,193.3
211,1211,11-11-2022,Item-4,318,12,3816,Vendor-9,Pending,0,0,0
212,1212,09-02-2022,Item-1,388,20,7760,Vendor-5,Received,7760,2230,5530
213,1213,02-08-2022,Item-3,357,18,6426,Vendor-8,Received,6426,4535.1,1890.9
214,1214,11-02-2022,Item-2,264,11,2904,Vendor-6,Received,2904,2135.5,768.5
215,1215,20-01-2022,Item-3,302,15,4530,Vendor-9,Received,4530,2649.5,1880.5
216,1216,12-05-2022,Item-4,371,19,7049,Vendor-8,Received,7049,6469.6,579.4
217,1217,10-08-2022,Item-4,121,14,1694,Vendor-7,Pending,0,0,0
218,1218,04-04-2022,Item-2,102,14,1428,Vendor-9,Pending,0,0,0
219,1219,20-10-2022,Item-2,110,18,1980,Vendor-7,Pending,0,0,0
220,1220,07-06-2022,Item-3,246,16,3936,Vendor-5,Received,3936,1671.1,2264.9
221,1221,26-09-2022,Item-1,231,20,4620,Vendor-2,Received,4620,2265.2,2354.8
222,1222,28-01-2022,Item-3,355,10,3550,Vendor-10,Pending,0,0,0
223,1223,08-11-2022,Item-1,231,18,4158,Vendor-7,Received,4158,2798.7,1359.3
224,1224,25-01-2022,Item-4,246,20,4920,Vendor-6,Pending,0,0,0
225,1225,12-02-2022,Item-3,325,15,4875,Vendor-2,Received,4875,1068.7,3806.3
226,1226,16-04-2022,Item-2,272,17,4624,Vendor-4,Received,4624,4593.2,30.8
227,1227,17-05-2022,Item-2,206,19,3914,Vendor-6,Pending,0,0,0
228,1228,25-09-2022,Item-1,136,16,2176,Vendor-8,Pending,0,0,0
229,1229,04-09-2022,Item-4,304,12,3648,Vendor-7,Received,3648,3066.3,581.7
230,1230,19-04-2022,Item-1,101,10,1010,Vendor-1,Pending,0,0,0
231,1231,11-12-2022,Item-3,364,19,6916,Vendor-3,Received,6916,6538,378
232,1232,24-08-2022,Item-1,248,12,2976,Vendor-5,Received,2976,2647.8,328.2
233,1233,06-11-2022,Item-2,122,19,2318,Vendor-10,Received,2318,1721.3,596.7
234,1234,09-12-2022,Item-3,465,13,6045,Vendor-2,Pending,0,0,0
235,1235,24-04-2022,Item-3,240,16,3840,Vendor-9,Received,3840,3545.9,294.1
236,1236,29-01-2022,Item-4,461,13,5993,Vendor-3,Received,5993,1437.4,4555.6
237,1237,11-01-2022,Item-4,164,12,1968,Vendor-6,Pending,0,0,0
238,1238,14-07-2022,Item-4,198,16,3168,Vendor-4,Pending,0,0,0
239,1239,22-07-2022,Item-3,343,10,3430,Vendor-5,Pending,0,0,0
240,1240,10-03-2022,Item-2,364,15,5460,Vendor-8,Pending,0,0,0
241,1241,03-02-2022,Item-2,228,16,3648,Vendor-7,Pending,0,0,0
242,1242,23-11-2022,Item-2,324,16,5184,Vendor-7,Received,5184,4504.4,679.6
243,1243,03-09-2022,Item-3,227,13,2951,Vendor-2,Pending,0,0,0
244,1244,28-05-2022,Item-2,322,12,3864,Vendor-2,Received,3864,2212.9,1651.1
245,1245,20-01-2022,Item-4,441,14,6174,Vendor-2,Pending,0,0,0
246,1246,13-03-2022,Item-1,113,14,1582,Vendor-8,Pending,0,0,0
247,1247,12-02-2022,Item-2,361,12,4332,Vendor-7,Pending,0,0,0
248,1248,09-12-2022,Item-2,151,16,2416,Vendor-6,Received,2416,1300.7,1115.3
249,1249,21-11-2022,Item-3,428,14,5992,Vendor-6,Received,5992,1919.8,4072.2
250,1250,18-08-2022,Item-4,459,18,8262,Vendor-2,Received,8262,4095.8,4166.2
251,1251,27-04-2022,Item-2,173,16,2768,Vendor-7,Pending,0,0,0
252,1252,03-09-2022,Item-4,362,11,3982,Vendor-9,Pending,0,0,0
253,1253,29-09-2022,Item-1,446,10,4460,Vendor-2,Pending,0,0,0
254,1254,15-03-2022,Item-3,257,13,3341,Vendor-3,Pending,0,0,0
255,1255,23-08-2022,Item-1,469,14,6566,Vendor-8,Pending,0,0,0
256,1256,15-04-2022,Item-3,318,14,4452,Vendor-10,Received,4452,1913.2,2538.8
257,1257,17-06-2022,Item-4,300,12,3600,Vendor-9,Received,3600,1685.5,1914.5
258,1258,23-04-2022,Item-1,496,14,6944,Vendor-1,Pending,0,0,0
259,1259,10-11-2022,Item-1,254,18,4572,Vendor-6,Received,4572,2205.3,2366.7
260,1260,10-03-2022,Item-2,432,20,8640,Vendor-1,Pending,0,0,0
261,1261,02-03-2022,Item-4,364,13,4732,Vendor-5,Received,4732,2762.9,1969.1
262,1262,14-12-2022,Item-1,372,17,6324,Vendor-4,Received,6324,3026.6,3297.4
263,1263,12-09-2022,Item-2,423,13,5499,Vendor-9,Pending,0,0,0
264,1264,15-07-2022,Item-2,244,10,2440,Vendor-9,Pending,0,0,0
265,1265,30-09-2022,Item-3,132,13,1716,Vendor-2,Received,1716,1475.3,240.7
266,1266,01-09-2022,Item-3,370,11,4070,Vendor-9,Received,4070,3960.5,109.5
267,1267,20-04-2022,Item-2,325,12,3900,Vendor-9,Received,3900,3780.9,119.1
268,1268,03-03-2022,Item-4,282,12,3384,Vendor-5,Pending,0,0,0
269,1269,02-10-2022,Item-3,392,20,7840,Vendor-6,Received,7840,3008.9,4831.1
270,1270,26-08-2022,Item-4,217,13,2821,Vendor-8,Received,2821,1824,997
271,1271,10-04-2022,Item-4,392,14,5488,Vendor-4,Pending,0,0,0
272,1272,30-09-2022,Item-2,494,15,7410,Vendor-7,Received,7410,1950.9,5459.1
273,1273,07-04-2022,Item-4,251,13,3263,Vendor-10,Pending,0,0,0
274,1274,16-10-2022,Item-2,240,12,2880,Vendor-6,Pending,0,0,0
275,1275,24-09-2022,Item-3,416,13,5408,Vendor-10,Received,5408,1257.3,4150.7
276,1276,02-11-2022,Item-3,120,10,1200,Vendor-2,Received,1200,1029.8,170.2
277,1277,18-12-2022,Item-1,204,17,3468,Vendor-10,Received,3468,3328.6,139.4
278,1278,10-01-2022,Item-3,164,19,3116,Vendor-10,Pending,0,0,0
279,1279,02-12-2022,Item-2,215,15,3225,Vendor-8,Pending,0,0,0
280,1280,20-06-2022,Item-3,382,18,6876,Vendor-9,Received,6876,1193.6,5682.4
281,1281,25-03-2022,Item-3,215,11,2365,Vendor-7,Pending,0,0,0
282,1282,11-02-2022,Item-3,223,17,3791,Vendor-7,Pending,0,0,0
283,1283,06-03-2022,Item-2,342,11,3762,Vendor-9,Pending,0,0,0
284,1284,05-05-2022,Item-4,275,17,4675,Vendor-3,Received,4675,2626,2049
285,1285,02-05-2022,Item-3,131,10,1310,Vendor-3,Pending,0,0,0
286,1286,10-03-2022,Item-1,308,10,3080,Vendor-3,Pending,0,0,0
287,1287,20-08-2022,Item-4,418,12,5016,Vendor-3,Pending,0,0,0
288,1288,12-01-2022,Item-1,152,11,1672,Vendor-2,Received,1672,1149.9,522.1
289,1289,11-01-2022,Item-4,404,20,8080,Vendor-10,Received,8080,2192.1,5887.9
290,1290,01-01-2022,Item-1,321,13,4173,Vendor-5,Pending,0,0,0
291,1291,18-08-2022,Item-2,388,11,4268,Vendor-5,Received,4268,3929.5,338.5
292,1292,31-12-2022,Item-2,386,14,5404,Vendor-1,Pending,0,0,0
293,1293,11-11-2022,Item-4,196,14,2744,Vendor-1,Received,2744,2139.5,604.5
294,1294,03-07-2022,Item-2,308,12,3696,Vendor-7,Pending,0,0,0
295,1295,13-07-2022,Item-4,431,15,6465,Vendor-4,Received,6465,4789.6,1675.4
296,1296,19-10-2022,Item-1,398,14,5572,Vendor-3,Received,5572,3637.8,1934.2
297,1297,29-06-2022,Item-1,403,20,8060,Vendor-9,Pending,0,0,0
298,1298,29-11-2022,Item-2,402,18,7236,Vendor-5,Received,7236,2377.3,4858.7
299,1299,25-09-2022,Item-1,269,16,4304,Vendor-4,Received,4304,3701.7,602.3
300,1300,17-03-2022,Item-2,398,19,7562,Vendor-5,Received,7562,5282.6,2279.4
301,1301,09-07-2022,Item-1,359,12,4308,Vendor-9,Pending,0,0,0
302,1302,01-09-2022,Item-4,259,14,3626,Vendor-3,Pending,0,0,0
303,1303,26-03-2022,Item-1,485,11,5335,Vendor-5,Received,5335,1384.9,3950.1
304,1304,03-04-2022,Item-3,103,12,1236,Vendor-8,Pending,0,0,0
305,1305,13-05-2022,Item-3,197,10,1970,Vendor-1,Received,1970,1182.8,787.2
306,1306,16-07-2022,Item-3,454,14,6356,Vendor-7,Pending,0,0,0
307,1307,23-05-2022,Item-1,360,17,6120,Vendor-6,Received,6120,1534.6,4585.4
308,1308,12-06-2022,Item-3,490,17,8330,Vendor-1,Pending,0,0,0
309,1309,08-04-2022,Item-4,339,12,4068,Vendor-1,Pending,0,0,0
310,1310,20-01-2022,Item-3,398,15,5970,Vendor-7,Received,5970,4535.9,1434.1
311,1311,03-04-2022,Item-2,360,19,6840,Vendor-8,Pending,0,0,0
312,1312,29-09-2022,Item-3,229,14,3206,Vendor-6,Pending,0,0,0
313,1313,12-01-2022,Item-2,185,11,2035,Vendor-7,Pending,0,0,0
314,1314,20-03-2022,Item-2,274,19,5206,Vendor-8,Pending,0,0,0
315,1315,29-01-2022,Item-1,358,10,3580,Vendor-8,Pending,0,0,0
316,1316,31-08-2022,Item-4,388,11,4268,Vendor-1,Pending,0,0,0
